"ASME","American Society of Mechanical Engineers"
"CIE","Computers and Information in Engineering Conference, and ASME conference colocated with IDETC"
"IDETC","International Design Engineering and Technical Conferences, an ASME conference"
"DAC","Design Automation Conference, part of IDETC"
"DFMLC","Design for Manufacturing and Life Cycle Conference, part of IDETC"
"DTM","Design Theory and Methdology Conference, part of IDETC"
"SEIKM","Systems Engineering, Information, Knowledge Management Conference, part of CIE"
"DCC","Design Computing and Cognition"
"DED","Design Engineering Division, part of ASME"
"ICED","International Conference on Engineering Design"
"SIG","Special Interest Group"
"JMD","Journal of Mechanical Design, an ASME journal"
"JCISE","Journal of Computers and Information Science in Engineering, an ASME journal"
"KYOOT","Keep your options open, tiger"
"VAE","Variational Autoencoder"
"ML","Machine Learning"
"AI","Artificial Intelligence"
"DFAI","Design for Artificial Intelligence"
"AM","Additive Manufacturing"
"DFAM","Design for Additive Manufacturing"
